"","country","gdppc99","lngdp99","ISO_qual","ISO_envt","wtr_pltn","lnpoison","lnintest","UnofEcon","lab_inf","roa","markcom","cor_aart","cor_icrg","xconst45_98","P_execon","gov_eff","EffectLg","Competit","autoc45_98","pright_av","legor_fr","legor_so","legor_ge","legor_sc","legor_en","civil_fh","prop97","prop_hf9","response","sanita_who","expense_heal","cost_priv","steps","procedures","time_99","cost_99","cost_pct"
"11","Chile",4740,8.46379280090332,0.00417179986834526,6.83999969623983e-05,0.230000004172325,2.60223197937012,3.81141805648804,27.6000003814697,40,0.181217595934868,5.59999990463257,0.356762886047363,0.400000005960464,3.66667008399963,3.31428599357605,1.1658810377121,1.88372004032135,1.25581002235413,2.09259009361267,0.393188804388046,1,0,0,0,0,0.833333313465118,1,5,5.8087477684021,83,NA,383,10,10,28,620.130004882812,0.129999995231628
"12","China",780,6.65929412841797,0.00670329993590713,7.63999996706843e-05,0.134700000286102,3.17302393913269,3.8805980682373,NA,21.8999996185303,0.108527697622776,5.69999980926514,0.784361183643341,0.800000011920929,2.32074999809265,2.3714280128479,0.0155899999663234,0.906976997852325,0.906976997852325,7.50942993164062,0.0340556986629963,0,1,0,0,0,0.166666701436043,0.25,2,5.19891500473022,NA,NA,48.310001373291,10,12,92,110.51000213623,0.140000000596046
"13","Colombia",2250,7.7186861038208,0.00531940022483468,7.49000028008595e-05,0.198599994182587,3.29284596443176,5.22467517852783,30.0499992370605,53.7999992370605,0.141933396458626,4.30000019073486,0.849679410457611,0.800000011920929,5.07406997680664,6.14285707473755,-0.0566259995102882,1.69766998291016,1.81394994258881,1.05555999279022,0.752322018146515,1,0,0,0,0,0.5,0.5,3,5.30063104629517,56,3,88.4899978637695,16,18,48,332.989990234375,0.150000005960464
"14","Croatia",4580,8.42945384979248,0.0253794994205236,0.000629200018011034,0.16329999268055,3.50590205192566,1.66880202293396,30.3999996185303,70,0.237800002098083,NA,0.841154873371124,NA,3.19231009483337,3.34285688400269,0.149624302983284,NA,NA,6.38462018966675,0.269349813461304,0,1,0,0,0,0.5,0.25,2,5.32094097137451,68.0999984741211,NA,1534.06005859375,11,12,38,2062.3701171875,0.449999988079071
"15","Czech Republic",5060,8.52912139892578,0.140041306614876,0.00407599983736873,0.135299995541573,3.5370659828186,0.444396704435349,18.2000007629395,NA,0.0774449035525322,5.09999990463257,0.565983593463898,0.400000005960464,3.84614992141724,3.58823490142822,0.594645798206329,1.0465099811554,1.0465099811554,5.5,0.318885505199432,0,1,0,0,0,0.833333313465118,0.75,4,5.78150606155396,NA,5.90000009536743,115.48999786377,10,10,65,416.130004882812,0.0799999982118607
"16","Denmark",32030,10.3744297027588,0.416333913803101,0.0265779998153448,0.173600003123283,3.13889598846436,1.8162750005722,15.5699996948242,15.3999996185303,0.25540891289711,5.40000009536743,0,0,7,7,1.72105205059052,3,2,0,1,0,0,0,1,0,1,1,5,7.12206983566284,100,6.80000019073486,0,3,3,3,3203,0.100000001490116
"17","Dominican Republic",191,5.25227403640747,0,0,NA,NA,NA,NA,52,NA,NA,0.941355586051941,0.400000005960464,3.33999991416931,4.3636360168457,-0.832540094852448,NA,NA,3.83999991416931,0.770897924900055,1,0,0,0,0,0.666666686534882,0.25,2,5.13550519943237,60,NA,564.460021972656,19,21,80,884.5,4.63000011444092
"18","Ecuador",1310,7.17778301239014,0.00134039996191859,8.37999978102744e-05,0.245399996638298,3.67933392524719,6.07926893234253,31.2000007629395,58.7999992370605,NA,3.40000009536743,0.956359386444092,0.46000000834465,4.1481499671936,4.11428594589233,-0.561960875988007,1.23256003856659,1.23256003856659,1.68518996238708,0.62848299741745,1,0,0,0,0,0.666666686534882,NA,3,5.32000017166138,54,NA,581.200012207031,16,16,72,815.200012207031,0.620000004768372
"19","Egypt, Arab Rep.",1400,7.24422693252563,0.00637969980016351,0.000215399995795451,0.199200004339218,3.37591910362244,6.2616868019104,68,64.1999969482422,0.164429903030396,4.90000009536743,0.777382791042328,0.800000011920929,3.51852011680603,3,-0.137952297925949,0.839999973773956,0.879999995231628,5.68518018722534,0.250773906707764,1,0,0,0,0,0.333333313465118,0.5,3,5.05999994277954,NA,5,737.900024414062,11,11,51,1352.26000976562,0.970000028610229
"20","Finland",23780,10.0766000747681,0.282109886407852,0.0345209985971451,0.178900003433228,2.14534711837769,1.54590499401093,13.3000001907349,NA,0.219518795609474,5,0.0144100999459624,0,7,7,1.63475799560547,3,2,0,0.907120823860168,0,0,0,1,0,1,1,5,6.75590181350708,100,9.89999961853027,0,3,5,24,276.720001220703,0.00999999977648258
"21","France",23480,10.0638999938965,0.242189198732376,0.0050335000269115,0.154499992728233,2.05744910240173,1.91483700275421,12.3999996185303,9,0.141556099057198,5.5,0.274632185697556,0.400000005960464,5.28302001953125,4.68571376800537,1.27953195571899,2.2790699005127,2,0.20754699409008,1,1,0,0,0,0,0.833333313465118,0.75,4,6.82207918167114,NA,9.89999961853027,597.02001953125,15,15,53,3358.34008789062,0.140000000596046
"22","Georgia",620,6.42971897125244,0,0,NA,NA,NA,48.8800010681152,36.7000007629395,NA,NA,0.931853413581848,NA,3.03703999519348,3.05714297294617,-0.512081980705261,NA,NA,6.27778005599976,0.1950463950634,0,1,0,0,0,0.5,0.25,4,4.32999992370605,NA,NA,88,13,13,69,375,0.600000023841858
"23","Germany",25350,10.1405296325684,0.293099910020828,0.0079322000965476,0.12049999833107,1.91294598579407,1.00795900821686,13.6099996566772,22,0.238988503813744,5.80000019073486,0.165022596716881,0.200000002980232,7,7,1.40920901298523,3,2,0,1,0,0,1,0,0,0.833333313465118,1,5,7.09865808486938,NA,NA,2332.19995117188,8,10,42,3976.35009765625,0.159999996423721
"24","Ghana",390,5.96614694595337,0.00011120000272058,0,0.173800006508827,2.77169704437256,NA,NA,72.3000030517578,NA,NA,0.788417220115662,0.600000023841858,1.94286000728607,1.59375,-0.286777585744858,0.4375,0.625,5.51428985595703,0.250773906707764,0,0,0,0,1,0.666666686534882,0.5,3,4.80000019073486,27,1.20000004768372,0.28999999165535,10,10,45,84.8399963378906,0.219999998807907
"25","Greece",11770,9.37330913543701,0.0726097971200943,0.000950400019064546,0.195899993181229,3.21687388420105,1.09132897853851,25.3850002288818,NA,0.219494193792343,5.09999990463257,0.423062413930893,0.200000002980232,5.79244995117188,5.11764717102051,0.55969101190567,1.97674000263214,1.93023002147675,1.94340002536774,0.863777101039886,1,0,0,0,0,0.666666686534882,0.75,4,6.04667091369629,NA,4.80000019073486,2230.3701171875,14,15,36,6896.77001953125,0.589999973773956
"26","Hong Kong SAR",23520,10.0656099319458,0.298369705677032,0.00861269980669022,0.140799999237061,3.05301809310913,-0.677198827266693,13,NA,0.0643612965941429,5.5,0.264595091342926,0.219999998807907,NA,NA,1.24834001064301,NA,NA,NA,NA,0,0,0,0,1,NA,1,5,NA,NA,NA,27.7600002288818,4,5,15,783.869995117188,0.0299999993294477
"27","Hungary",4650,8.44462203979492,0.163467898964882,0.00275729992426932,0.177499994635582,3.3319239616394,-0.561445772647858,28.8500003814697,NA,0.232518494129181,5.19999980926514,0.49141401052475,0.200000002980232,3.73468995094299,3.59999990463257,0.606456398963928,1,1,5.65305995941162,0.461300313472748,0,1,0,0,0,0.833333313465118,0.75,NA,5.46999979019165,NA,5.75,2717.43994140625,5,8,39,3992.96997070312,0.860000014305115
"28","India",450,6.10924816131592,0.00347610004246235,4.1600000258768e-05,0.194600000977516,3.32903099060059,4.54566097259521,22.3999996185303,50.4000015258789,0.124310001730919,5.19999980926514,0.789832711219788,0.600000023841858,6.95917987823486,6.94285678863525,-0.26374688744545,2.54053997993469,2,0,0.777089774608612,0,0,0,0,1,0.666666686534882,0.5,3,5.01660490036011,16.2000007629395,3.20000004768372,160.179992675781,10,10,77,259.929992675781,0.579999983310699
"29","Indonesia",580,6.36302804946899,0.0072099999524653,0.000274999998509884,0.223000004887581,NA,4.06025409698486,39.2000007629395,37.4000015258789,0.18412110209465,4.40000009536743,0.949758112430573,0.660000026226044,2.98147988319397,2.20000004768372,-0.528262794017792,1,1.13157999515533,5.6111102104187,0.22600619494915,1,0,0,0,0,0.5,0.5,3,5.46000003814697,55.4000015258789,3.70000004768372,287.920013427734,11,11,128,312.010009765625,0.540000021457672
"30","Ireland",19160,9.86058044433594,0.779568374156952,0.0262222997844219,0.162499994039536,2.18886995315552,0.364291697740555,16.7399997711182,NA,0.233550995588303,5.09999990463257,0.182215392589569,0.400000005960464,7,7,1.36109697818756,3,2,0,1,0,0,0,0,1,1,1,5,6.51530408859253,NA,8,35.7599983215332,3,3,16,2216.3798828125,0.119999997317791
"31","Israel",15860.2998046875,9.67157459259033,0.633995890617371,0.00428379978984594,0.157100006937981,0.927314579486847,1.44767498970032,29,NA,0.235130295157433,4.90000009536743,0.276483207941055,0.260000109672546,7,7,0.685072422027588,3,2,0,0.869969010353088,0,0,0,0,1,0.833333313465118,0.75,4,6.70038318634033,70,4.19999980926514,98.9800033569336,5,5,32,3381.6201171875,0.209999993443489
"32","Italy",19710,9.88888168334961,0.314569801092148,0.00213830010034144,0.127399995923042,2.16107201576233,1.0930210351944,21.8400001525879,39,0.244320303201675,4.90000009536743,0.430358588695526,0.400000005960464,7,7,0.772869288921356,3,2,0,0.975232183933258,1,0,0,0,0,0.833333313465118,0.75,4,6.65077018737793,NA,8.30000019073486,1421.10998535156,11,16,62,3945.77001953125,0.200000002980232
"33","Jamaica",2330,7.75362300872803,0.00860000029206276,0.00209999992512167,0.209999993443489,NA,NA,21.2999992370605,NA,NA,NA,0.728317975997925,0.600000023841858,7,7,-0.484201312065125,2.77778005599976,2,0,0.857585072517395,0,0,0,0,1,0.833333313465118,NA,NA,5.03284788131714,74,2.90000009536743,0,5,6,24,437.899993896484,0.189999997615814
